09-21-2026 03:56:43 RAM 1579/7546MB (lfb 27x2MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.656C/49.968C soc0@49.812C/50.156C gpu@50.937C/51.187C tj@50.937C/51.187C soc1@50.375C/50.656C VDD_IN 5686mW/5635mW/5804mW VDD_CPU_GPU_CV 946mW/990mW/1064mW VDD_SOC 1579mW/1556mW/1579mW
09-21-2026 03:56:43 RAM 1579/7546MB (lfb 27x2MB) CPU [0%@1344,1%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.093C/50.562C soc2@49.687C/49.968C soc0@49.687C/50.156C gpu@50.75C/51.187C tj@50.75C/51.187C soc1@50.312C/50.656C VDD_IN 5528mW/5631mW/5804mW VDD_CPU_GPU_CV 867mW/985mW/1064mW VDD_SOC 1540mW/1555mW/1579mW
09-21-2026 03:56:44 RAM 1591/7546MB (lfb 21x2MB) CPU [0%@1344,0%@1344,3%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.625C/49.968C soc0@49.718C/50.156C gpu@50.5C/51.187C tj@50.5C/51.187C soc1@50.281C/50.656C VDD_IN 5725mW/5634mW/5804mW VDD_CPU_GPU_CV 985mW/985mW/1064mW VDD_SOC 1579mW/1556mW/1579mW
09-21-2026 03:56:44 RAM 1591/7546MB (lfb 21x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.187C/50.562C soc2@49.593C/49.968C soc0@49.531C/50.156C gpu@50.75C/51.187C tj@50.75C/51.187C soc1@50.281C/50.656C VDD_IN 5646mW/5635mW/5804mW VDD_CPU_GPU_CV 946mW/984mW/1064mW VDD_SOC 1579mW/1557mW/1579mW
09-21-2026 03:56:45 RAM 1586/7546MB (lfb 23x2MB) CPU [2%@1344,1%@1344,0%@1344,100%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.562C/49.968C soc0@49.906C/50.156C gpu@50.531C/51.187C tj@50.531C/51.187C soc1@50.343C/50.656C VDD_IN 5607mW/5634mW/5804mW VDD_CPU_GPU_CV 946mW/983mW/1064mW VDD_SOC 1540mW/1557mW/1579mW
09-21-2026 03:56:45 RAM 1588/7546MB (lfb 23x2MB) CPU [8%@1344,7%@1344,7%@1344,100%@1344,7%@1344,7%@1344] GR3D_FREQ 0% cpu@50.093C/50.562C soc2@49.531C/49.968C soc0@49.843C/50.156C gpu@50.656C/51.187C tj@50.656C/51.187C soc1@50.468C/50.656C VDD_IN 5646mW/5634mW/5804mW VDD_CPU_GPU_CV 1025mW/984mW/1064mW VDD_SOC 1540mW/1556mW/1579mW
09-21-2026 03:56:46 RAM 1624/7546MB (lfb 1x4MB) CPU [11%@1113,8%@1113,8%@1113,90%@1113,6%@729,6%@729] GR3D_FREQ 0% cpu@49.968C/50.562C soc2@49.593C/49.968C soc0@49.906C/50.156C gpu@50.781C/51.187C tj@50.781C/51.187C soc1@50.312C/50.656C VDD_IN 5607mW/5633mW/5804mW VDD_CPU_GPU_CV 1025mW/985mW/1064mW VDD_SOC 1540mW/1555mW/1579mW
09-21-2026 03:56:46 RAM 1626/7546MB (lfb 5x2MB) CPU [15%@1344,0%@1344,0%@1344,86%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.625C/49.968C soc0@49.718C/50.156C gpu@50.562C/51.187C tj@50.562C/51.187C soc1@50.281C/50.656C VDD_IN 5607mW/5632mW/5804mW VDD_CPU_GPU_CV 1025mW/987mW/1064mW VDD_SOC 1540mW/1555mW/1579mW
09-21-2026 03:56:47 RAM 1630/7546MB (lfb 388x1MB) CPU [0%@1344,0%@1344,5%@1344,93%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@50.187C/50.562C soc2@49.5C/49.968C soc0@49.562C/50.156C gpu@50.5C/51.187C tj@50.5C/51.187C soc1@50.187C/50.656C VDD_IN 5567mW/5630mW/5804mW VDD_CPU_GPU_CV 1025mW/988mW/1064mW VDD_SOC 1500mW/1553mW/1579mW
09-21-2026 03:56:47 RAM 1639/7546MB (lfb 384x1MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.562C/49.968C soc0@49.531C/50.156C gpu@50.562C/51.187C tj@50.562C/51.187C soc1@50.187C/50.656C VDD_IN 5528mW/5627mW/5804mW VDD_CPU_GPU_CV 1025mW/989mW/1064mW VDD_SOC 1500mW/1552mW/1579mW
09-21-2026 03:56:48 RAM 1638/7546MB (lfb 1x2MB) CPU [0%@1344,2%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.125C/50.562C soc2@49.5C/49.968C soc0@49.75C/50.156C gpu@50.468C/51.187C tj@50.468C/51.187C soc1@50.406C/50.656C VDD_IN 5528mW/5624mW/5804mW VDD_CPU_GPU_CV 1064mW/991mW/1064mW VDD_SOC 1500mW/1550mW/1579mW
09-21-2026 03:56:48 RAM 1667/7546MB (lfb 359x1MB) CPU [2%@1344,0%@1344,0%@1344,100%@1344,3%@729,5%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.625C/49.968C soc0@49.656C/50.156C gpu@50.375C/51.187C tj@50.375C/51.187C soc1@50.343C/50.656C VDD_IN 5607mW/5624mW/5804mW VDD_CPU_GPU_CV 1064mW/993mW/1064mW VDD_SOC 1540mW/1550mW/1579mW
09-21-2026 03:56:49 RAM 1707/7546MB (lfb 335x1MB) CPU [1%@1344,0%@1344,2%@1344,92%@1344,0%@729,6%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.5C/49.968C soc0@49.593C/50.156C gpu@50.656C/51.187C tj@50.656C/51.187C soc1@50.187C/50.656C VDD_IN 5607mW/5623mW/5804mW VDD_CPU_GPU_CV 1064mW/995mW/1064mW VDD_SOC 1540mW/1550mW/1579mW
09-21-2026 03:56:49 RAM 1742/7546MB (lfb 323x1MB) CPU [1%@729,0%@729,3%@729,80%@729,0%@729,3%@729] GR3D_FREQ 33% cpu@49.75C/50.562C soc2@49.562C/49.968C soc0@49.531C/50.156C gpu@50.437C/51.187C tj@50.437C/51.187C soc1@50.156C/50.656C VDD_IN 5488mW/5620mW/5804mW VDD_CPU_GPU_CV 985mW/995mW/1064mW VDD_SOC 1500mW/1548mW/1579mW
09-21-2026 03:56:50 RAM 1783/7546MB (lfb 316x1MB) CPU [5%@1344,5%@1344,2%@1344,86%@1344,1%@729,3%@729] GR3D_FREQ 3% cpu@50.093C/50.562C soc2@49.5C/49.968C soc0@49.593C/50.156C gpu@50.656C/51.187C tj@50.656C/51.187C soc1@50.187C/50.656C VDD_IN 5528mW/5617mW/5804mW VDD_CPU_GPU_CV 1025mW/996mW/1064mW VDD_SOC 1500mW/1547mW/1579mW
09-21-2026 03:56:50 RAM 1843/7546MB (lfb 2x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,3%@729] GR3D_FREQ 4% cpu@49.968C/50.562C soc2@49.468C/49.968C soc0@49.718C/50.156C gpu@50.468C/51.187C tj@50.468C/51.187C soc1@50.218C/50.656C VDD_IN 5567mW/5616mW/5804mW VDD_CPU_GPU_CV 1064mW/997mW/1064mW VDD_SOC 1500mW/1546mW/1579mW
09-21-2026 03:56:51 RAM 1902/7546MB (lfb 296x1MB) CPU [2%@1344,0%@1344,0%@1344,97%@1344,0%@729,2%@729] GR3D_FREQ 1% cpu@49.843C/50.562C soc2@49.531C/49.968C soc0@49.656C/50.156C gpu@50.718C/51.187C tj@50.718C/51.187C soc1@50.187C/50.656C VDD_IN 5607mW/5616mW/5804mW VDD_CPU_GPU_CV 1064mW/999mW/1064mW VDD_SOC 1500mW/1545mW/1579mW
09-21-2026 03:56:51 RAM 1964/7546MB (lfb 1x2MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,0%@729,3%@729] GR3D_FREQ 2% cpu@49.843C/50.562C soc2@49.5C/49.968C soc0@49.562C/50.156C gpu@50.437C/51.187C tj@50.437C/51.187C soc1@50.125C/50.656C VDD_IN 5607mW/5615mW/5804mW VDD_CPU_GPU_CV 1064mW/1001mW/1064mW VDD_SOC 1500mW/1544mW/1579mW
09-21-2026 03:56:52 RAM 2038/7546MB (lfb 265x1MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,1%@729,2%@729] GR3D_FREQ 3% cpu@50.218C/50.562C soc2@49.406C/49.968C soc0@49.562C/50.156C gpu@50.375C/51.187C tj@50.375C/51.187C soc1@50.093C/50.656C VDD_IN 5607mW/5615mW/5804mW VDD_CPU_GPU_CV 1064mW/1002mW/1064mW VDD_SOC 1500mW/1542mW/1579mW
09-21-2026 03:56:52 RAM 2103/7546MB (lfb 253x1MB) CPU [2%@1344,0%@1344,0%@1344,100%@1344,2%@729,3%@729] GR3D_FREQ 3% cpu@49.843C/50.562C soc2@49.468C/49.968C soc0@49.781C/50.156C gpu@50.875C/51.187C tj@50.875C/51.187C soc1@50C/50.656C VDD_IN 5607mW/5615mW/5804mW VDD_CPU_GPU_CV 1064mW/1004mW/1064mW VDD_SOC 1500mW/1541mW/1579mW
09-21-2026 03:56:53 RAM 2188/7546MB (lfb 2x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.531C/49.968C soc0@49.593C/50.156C gpu@50.375C/51.187C tj@50.375C/51.187C soc1@50.218C/50.656C VDD_IN 5607mW/5615mW/5804mW VDD_CPU_GPU_CV 1064mW/1005mW/1064mW VDD_SOC 1500mW/1541mW/1579mW
09-21-2026 03:56:53 RAM 2284/7546MB (lfb 2x2MB) CPU [2%@806,1%@806,1%@806,80%@806,8%@729,0%@729] GR3D_FREQ 45% cpu@49.656C/50.562C soc2@49.5C/49.968C soc0@49.562C/50.156C gpu@50.812C/51.187C tj@50.812C/51.187C soc1@50.031C/50.656C VDD_IN 5923mW/5622mW/5923mW VDD_CPU_GPU_CV 1143mW/1008mW/1143mW VDD_SOC 1579mW/1541mW/1579mW
09-21-2026 03:56:54 RAM 2290/7546MB (lfb 2x2MB) CPU [1%@1113,2%@1113,0%@1113,72%@1113,6%@729,0%@729] GR3D_FREQ 17% cpu@50.156C/50.562C soc2@49.531C/49.968C soc0@49.656C/50.156C gpu@50.718C/51.187C tj@50.718C/51.187C soc1@50.125C/50.656C VDD_IN 6594mW/5643mW/6594mW VDD_CPU_GPU_CV 1537mW/1020mW/1537mW VDD_SOC 1658mW/1544mW/1658mW
09-21-2026 03:56:54 RAM 2317/7546MB (lfb 194x1MB) CPU [0%@883,0%@883,0%@883,82%@883,2%@729,0%@729] GR3D_FREQ 30% cpu@50.031C/50.562C soc2@49.5C/49.968C soc0@49.531C/50.156C gpu@51.281C/51.281C tj@51.281C/51.281C soc1@50.062C/50.656C VDD_IN 6633mW/5664mW/6633mW VDD_CPU_GPU_CV 1537mW/1031mW/1537mW VDD_SOC 1658mW/1546mW/1658mW
09-21-2026 03:56:55 RAM 2319/7546MB (lfb 194x1MB) CPU [0%@729,7%@729,3%@729,70%@729,7%@729,0%@729] GR3D_FREQ 25% cpu@49.875C/50.562C soc2@49.468C/49.968C soc0@49.562C/50.156C gpu@50.687C/51.281C tj@50.5C/51.281C soc1@50.062C/50.656C VDD_IN 6436mW/5680mW/6633mW VDD_CPU_GPU_CV 1379mW/1038mW/1537mW VDD_SOC 1658mW/1549mW/1658mW
09-21-2026 03:56:55 RAM 2317/7546MB (lfb 194x1MB) CPU [0%@1344,0%@1344,1%@1344,92%@1344,2%@729,1%@729] GR3D_FREQ 0% cpu@50.156C/50.562C soc2@49.5C/49.968C soc0@49.75C/50.156C gpu@50.812C/51.281C tj@50.812C/51.281C soc1@50C/50.656C VDD_IN 5804mW/5683mW/6633mW VDD_CPU_GPU_CV 1103mW/1039mW/1537mW VDD_SOC 1579mW/1549mW/1658mW
09-21-2026 03:56:56 RAM 2335/7546MB (lfb 189x1MB) CPU [3%@1344,1%@1344,0%@1344,96%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@49.937C/50.562C soc2@49.531C/49.968C soc0@49.625C/50.156C gpu@50.718C/51.281C tj@50.718C/51.281C soc1@50.218C/50.656C VDD_IN 5765mW/5684mW/6633mW VDD_CPU_GPU_CV 1103mW/1040mW/1537mW VDD_SOC 1579mW/1550mW/1658mW
09-21-2026 03:56:56 RAM 2335/7546MB (lfb 189x1MB) CPU [0%@729,0%@729,0%@729,65%@729,4%@729,0%@729] GR3D_FREQ 33% cpu@49.625C/50.562C soc2@49.5C/49.968C soc0@49.593C/50.156C gpu@50.875C/51.281C tj@50.875C/51.281C soc1@50.156C/50.656C VDD_IN 6278mW/5696mW/6633mW VDD_CPU_GPU_CV 1261mW/1045mW/1537mW VDD_SOC 1658mW/1552mW/1658mW
09-21-2026 03:56:57 RAM 2334/7546MB (lfb 189x1MB) CPU [0%@1344,0%@1344,0%@1344,80%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@49.875C/50.562C soc2@49.5C/49.968C soc0@49.625C/50.156C gpu@50.25C/51.281C tj@50.25C/51.281C soc1@50.187C/50.656C VDD_IN 5883mW/5699mW/6633mW VDD_CPU_GPU_CV 1064mW/1045mW/1537mW VDD_SOC 1619mW/1553mW/1658mW
09-21-2026 03:56:57 RAM 2349/7546MB (lfb 185x1MB) CPU [0%@1344,1%@1344,0%@1344,100%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@50.187C/50.562C soc2@49.468C/49.968C soc0@49.625C/50.156C gpu@50.75C/51.281C tj@50.75C/51.281C soc1@50.031C/50.656C VDD_IN 5607mW/5698mW/6633mW VDD_CPU_GPU_CV 1025mW/1045mW/1537mW VDD_SOC 1540mW/1553mW/1658mW
09-21-2026 03:56:58 RAM 2424/7546MB (lfb 168x1MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,5%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.468C/49.968C soc0@49.5C/50.156C gpu@50.468C/51.281C tj@50.468C/51.281C soc1@49.968C/50.656C VDD_IN 5567mW/5695mW/6633mW VDD_CPU_GPU_CV 1025mW/1044mW/1537mW VDD_SOC 1500mW/1552mW/1658mW
09-21-2026 03:56:58 RAM 2446/7546MB (lfb 1x4MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@49.968C/50.562C soc2@49.375C/49.968C soc0@49.5C/50.156C gpu@50.593C/51.281C tj@50.593C/51.281C soc1@50.031C/50.656C VDD_IN 5528mW/5692mW/6633mW VDD_CPU_GPU_CV 985mW/1043mW/1537mW VDD_SOC 1500mW/1551mW/1658mW
09-21-2026 03:56:59 RAM 2442/7546MB (lfb 1x4MB) CPU [0%@1344,0%@1344,0%@1344,98%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.437C/49.968C soc0@49.718C/50.156C gpu@50.437C/51.281C tj@50.437C/51.281C soc1@50.25C/50.656C VDD_IN 5528mW/5689mW/6633mW VDD_CPU_GPU_CV 1025mW/1043mW/1537mW VDD_SOC 1500mW/1550mW/1658mW
09-21-2026 03:57:00 RAM 2441/7546MB (lfb 1x4MB) CPU [0%@1344,0%@1344,1%@1344,98%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.781C/50.562C soc2@49.437C/49.968C soc0@49.531C/50.156C gpu@50.593C/51.281C tj@50.593C/51.281C soc1@50.218C/50.656C VDD_IN 5528mW/5686mW/6633mW VDD_CPU_GPU_CV 1025mW/1043mW/1537mW VDD_SOC 1500mW/1549mW/1658mW
09-21-2026 03:57:00 RAM 2512/7546MB (lfb 1x4MB) CPU [1%@1344,98%@1344,3%@1344,2%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@49.656C/50.562C soc2@49.5C/49.968C soc0@49.5C/50.156C gpu@50.437C/51.281C tj@50.437C/51.281C soc1@50.125C/50.656C VDD_IN 5528mW/5684mW/6633mW VDD_CPU_GPU_CV 1025mW/1042mW/1537mW VDD_SOC 1500mW/1548mW/1658mW
09-21-2026 03:57:01 RAM 2594/7546MB (lfb 129x1MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,2%@729,1%@729] GR3D_FREQ 0% cpu@49.687C/50.562C soc2@49.406C/49.968C soc0@49.531C/50.156C gpu@50.312C/51.281C tj@50.593C/51.281C soc1@50.125C/50.656C VDD_IN 5528mW/5681mW/6633mW VDD_CPU_GPU_CV 1025mW/1042mW/1537mW VDD_SOC 1500mW/1548mW/1658mW
09-21-2026 03:57:01 RAM 2630/7546MB (lfb 1x2MB) CPU [0%@1344,100%@1344,1%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@50C/50.562C soc2@49.406C/49.968C soc0@49.468C/50.156C gpu@50.343C/51.281C tj@50.343C/51.281C soc1@50.062C/50.656C VDD_IN 5528mW/5679mW/6633mW VDD_CPU_GPU_CV 985mW/1041mW/1537mW VDD_SOC 1500mW/1547mW/1658mW
