09-20-2026 04:41:53 RAM 592/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.625C soc2@45.093C/45.187C soc0@45.156C/45.156C gpu@45.562C/45.875C tj@45.562C/45.875C soc1@45.437C/45.468C VDD_IN 5537mW/5491mW/5655mW VDD_CPU_GPU_CV 1026mW/1015mW/1143mW VDD_SOC 1500mW/1485mW/1540mW
09-20-2026 04:41:53 RAM 603/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [14%@1344,13%@1344,98%@1344,14%@1344,14%@1036,13%@1036] GR3D_FREQ 0% cpu@45.468C/45.625C soc2@45.187C/45.187C soc0@44.968C/45.156C gpu@45.531C/45.875C tj@45.531C/45.875C soc1@45.531C/45.531C VDD_IN 5616mW/5496mW/5655mW VDD_CPU_GPU_CV 1105mW/1018mW/1143mW VDD_SOC 1502mW/1486mW/1540mW
09-20-2026 04:41:54 RAM 644/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,0%@1344,98%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.625C soc2@45.156C/45.187C soc0@45C/45.156C gpu@45.593C/45.875C tj@45.593C/45.875C soc1@45.468C/45.531C VDD_IN 5576mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1019mW/1143mW VDD_SOC 1500mW/1486mW/1540mW
09-20-2026 04:41:54 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.375C/45.625C soc2@45.156C/45.187C soc0@44.937C/45.156C gpu@45.781C/45.875C tj@45.781C/45.875C soc1@45.406C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1019mW/1143mW VDD_SOC 1502mW/1487mW/1540mW
09-20-2026 04:41:55 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.625C soc2@45.187C/45.187C soc0@45C/45.156C gpu@45.562C/45.875C tj@45.625C/45.875C soc1@45.343C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1019mW/1143mW VDD_SOC 1463mW/1486mW/1540mW
09-20-2026 04:41:55 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.812C/45.812C soc2@45.156C/45.187C soc0@44.968C/45.156C gpu@45.75C/45.875C tj@45.812C/45.875C soc1@45.437C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1463mW/1485mW/1540mW
09-20-2026 04:41:56 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.812C soc2@45.125C/45.187C soc0@44.906C/45.156C gpu@45.406C/45.875C tj@45.406C/45.875C soc1@45.406C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1463mW/1484mW/1540mW
09-20-2026 04:41:56 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,1%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.656C/45.812C soc2@45.125C/45.187C soc0@45.093C/45.156C gpu@45.75C/45.875C tj@45.75C/45.875C soc1@45.468C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1463mW/1484mW/1540mW
09-20-2026 04:41:57 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/45.812C soc2@45.343C/45.343C soc0@45.031C/45.156C gpu@45.593C/45.875C tj@45.593C/45.875C soc1@45.437C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1463mW/1483mW/1540mW
09-20-2026 04:41:57 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.812C soc2@45.125C/45.343C soc0@45.031C/45.156C gpu@45.468C/45.875C tj@45.468C/45.875C soc1@45.343C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1020mW/1143mW VDD_SOC 1461mW/1482mW/1540mW
09-20-2026 04:41:58 RAM 650/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/45.812C soc2@45.156C/45.343C soc0@44.906C/45.156C gpu@45.593C/45.875C tj@45.593C/45.875C soc1@45.406C/45.531C VDD_IN 5497mW/5499mW/5655mW VDD_CPU_GPU_CV 1026mW/1021mW/1143mW VDD_SOC 1461mW/1482mW/1540mW
