09-20-2026 06:09:52 RAM 1670/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.875C soc2@45.656C/45.656C soc0@45.312C/45.343C gpu@46.125C/46.187C tj@46.125C/46.187C soc1@45.75C/45.812C VDD_IN 5449mW/5467mW/5735mW VDD_CPU_GPU_CV 946mW/990mW/1222mW VDD_SOC 1500mW/1488mW/1500mW
09-20-2026 06:09:52 RAM 1705/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.875C soc2@45.625C/45.656C soc0@45.281C/45.343C gpu@45.906C/46.187C tj@45.906C/46.187C soc1@45.781C/45.812C VDD_IN 5488mW/5468mW/5735mW VDD_CPU_GPU_CV 946mW/989mW/1222mW VDD_SOC 1500mW/1489mW/1500mW
09-20-2026 06:09:53 RAM 1733/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.656C/45.875C soc2@45.531C/45.656C soc0@45.312C/45.343C gpu@46.125C/46.187C tj@46.125C/46.187C soc1@45.718C/45.812C VDD_IN 5537mW/5471mW/5735mW VDD_CPU_GPU_CV 946mW/987mW/1222mW VDD_SOC 1500mW/1489mW/1500mW
09-20-2026 06:09:53 RAM 1779/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.593C/45.875C soc2@45.625C/45.656C soc0@45.281C/45.343C gpu@45.75C/46.187C tj@45.75C/46.187C soc1@45.687C/45.812C VDD_IN 5488mW/5472mW/5735mW VDD_CPU_GPU_CV 946mW/985mW/1222mW VDD_SOC 1500mW/1490mW/1500mW
09-20-2026 06:09:54 RAM 1817/7546MB (lfb 78x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.875C soc2@45.531C/45.656C soc0@45.25C/45.343C gpu@46.187C/46.187C tj@46.187C/46.187C soc1@45.718C/45.812C VDD_IN 5497mW/5473mW/5735mW VDD_CPU_GPU_CV 946mW/984mW/1222mW VDD_SOC 1500mW/1490mW/1500mW
09-20-2026 06:09:54 RAM 1833/7546MB (lfb 74x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.875C soc2@45.531C/45.656C soc0@45.187C/45.343C gpu@45.937C/46.187C tj@45.937C/46.187C soc1@45.625C/45.812C VDD_IN 5488mW/5473mW/5735mW VDD_CPU_GPU_CV 906mW/981mW/1222mW VDD_SOC 1500mW/1490mW/1500mW
09-20-2026 06:09:55 RAM 1839/7546MB (lfb 72x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.5C/45.875C soc2@45.531C/45.656C soc0@45.343C/45.343C gpu@46.125C/46.187C tj@46.125C/46.187C soc1@45.906C/45.906C VDD_IN 5497mW/5474mW/5735mW VDD_CPU_GPU_CV 947mW/980mW/1222mW VDD_SOC 1500mW/1491mW/1500mW
09-20-2026 06:09:55 RAM 1853/7546MB (lfb 68x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.875C soc2@45.625C/45.656C soc0@45.281C/45.343C gpu@45.906C/46.187C tj@45.906C/46.187C soc1@45.781C/45.906C VDD_IN 5497mW/5475mW/5735mW VDD_CPU_GPU_CV 946mW/979mW/1222mW VDD_SOC 1500mW/1491mW/1500mW
09-20-2026 06:09:56 RAM 1871/7546MB (lfb 62x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.875C soc2@45.593C/45.656C soc0@45.406C/45.406C gpu@46C/46.187C tj@46C/46.187C soc1@45.875C/45.906C VDD_IN 5458mW/5474mW/5735mW VDD_CPU_GPU_CV 906mW/976mW/1222mW VDD_SOC 1500mW/1491mW/1500mW
09-20-2026 06:09:56 RAM 1899/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.875C soc2@45.531C/45.656C soc0@45.343C/45.406C gpu@45.718C/46.187C tj@45.718C/46.187C soc1@45.718C/45.906C VDD_IN 5497mW/5475mW/5735mW VDD_CPU_GPU_CV 947mW/975mW/1222mW VDD_SOC 1500mW/1491mW/1500mW
09-20-2026 06:09:57 RAM 1906/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.937C/45.937C soc2@45.562C/45.656C soc0@45.25C/45.406C gpu@46.031C/46.187C tj@46.031C/46.187C soc1@45.781C/45.906C VDD_IN 5458mW/5474mW/5735mW VDD_CPU_GPU_CV 946mW/975mW/1222mW VDD_SOC 1500mW/1492mW/1500mW
09-20-2026 06:09:57 RAM 1913/7546MB (lfb 51x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.937C soc2@45.531C/45.656C soc0@45.25C/45.406C gpu@45.812C/46.187C tj@45.812C/46.187C soc1@45.656C/45.906C VDD_IN 5458mW/5474mW/5735mW VDD_CPU_GPU_CV 946mW/974mW/1222mW VDD_SOC 1500mW/1492mW/1500mW
