09-20-2026 06:59:11 RAM 616/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,13%@1344,0%@1344,0%@729,15%@729] GR3D_FREQ 0% cpu@45.375C/45.625C soc2@45.125C/45.343C soc0@45.156C/45.156C gpu@45.5C/45.843C tj@45.687C/45.843C soc1@45.687C/45.687C VDD_IN 5655mW/5606mW/5655mW VDD_CPU_GPU_CV 985mW/979mW/987mW VDD_SOC 1579mW/1555mW/1579mW
09-20-2026 06:59:12 RAM 606/7546MB (lfb 2x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,8%@1344,0%@1344,0%@729,13%@729] GR3D_FREQ 0% cpu@45.25C/45.625C soc2@45.281C/45.343C soc0@45.093C/45.156C gpu@45.531C/45.843C tj@45.562C/45.843C soc1@45.562C/45.687C VDD_IN 5655mW/5608mW/5655mW VDD_CPU_GPU_CV 985mW/980mW/987mW VDD_SOC 1579mW/1556mW/1579mW
09-20-2026 06:59:12 RAM 599/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [86%@1344,0%@1344,8%@1344,1%@1344,10%@729,21%@729] GR3D_FREQ 0% cpu@45.187C/45.625C soc2@45.312C/45.343C soc0@45.031C/45.156C gpu@45.843C/45.843C tj@45.843C/45.843C soc1@45.531C/45.687C VDD_IN 5616mW/5608mW/5655mW VDD_CPU_GPU_CV 987mW/980mW/987mW VDD_SOC 1579mW/1557mW/1579mW
09-20-2026 06:59:13 RAM 585/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,11%@1344,0%@1344,14%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.625C soc2@45.218C/45.343C soc0@45.093C/45.156C gpu@45.5C/45.843C tj@45.5C/45.843C soc1@45.468C/45.687C VDD_IN 5616mW/5608mW/5655mW VDD_CPU_GPU_CV 987mW/980mW/987mW VDD_SOC 1579mW/1558mW/1579mW
09-20-2026 06:59:13 RAM 575/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,4%@1344,1%@1344,14%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.625C soc2@45.25C/45.343C soc0@45C/45.156C gpu@45.75C/45.843C tj@45.75C/45.843C soc1@45.468C/45.687C VDD_IN 5616mW/5609mW/5655mW VDD_CPU_GPU_CV 987mW/980mW/987mW VDD_SOC 1579mW/1559mW/1579mW
09-20-2026 06:59:14 RAM 571/7546MB (lfb 5x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,11%@1344,0%@1344,15%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.625C soc2@45.281C/45.343C soc0@45.187C/45.187C gpu@45.656C/45.843C tj@45.656C/45.843C soc1@45.656C/45.687C VDD_IN 5616mW/5609mW/5655mW VDD_CPU_GPU_CV 987mW/981mW/987mW VDD_SOC 1579mW/1560mW/1579mW
09-20-2026 06:59:15 RAM 562/7546MB (lfb 3x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,5%@1344,0%@1344,8%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.625C soc2@45.406C/45.406C soc0@45.093C/45.187C gpu@45.812C/45.843C tj@45.812C/45.843C soc1@45.593C/45.687C VDD_IN 5655mW/5610mW/5655mW VDD_CPU_GPU_CV 1025mW/982mW/1025mW VDD_SOC 1540mW/1559mW/1579mW
09-20-2026 06:59:15 RAM 559/7546MB (lfb 1x1MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,2%@1344,0%@1344,0%@729,9%@729] GR3D_FREQ 0% cpu@45.375C/45.625C soc2@45.343C/45.406C soc0@45C/45.187C gpu@45.656C/45.843C tj@45.656C/45.843C soc1@45.5C/45.687C VDD_IN 5695mW/5613mW/5695mW VDD_CPU_GPU_CV 1064mW/985mW/1064mW VDD_SOC 1540mW/1558mW/1579mW
09-20-2026 06:59:16 RAM 562/7546MB (lfb 4x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,5%@1344,1%@1344,0%@729,8%@729] GR3D_FREQ 0% cpu@45.75C/45.75C soc2@45.375C/45.406C soc0@45.062C/45.187C gpu@45.531C/45.843C tj@45.75C/45.843C soc1@45.5C/45.687C VDD_IN 5686mW/5616mW/5695mW VDD_CPU_GPU_CV 1064mW/987mW/1064mW VDD_SOC 1540mW/1558mW/1579mW
09-20-2026 06:59:16 RAM 579/7546MB (lfb 3x2MB) SWAP 23/2048MB (cached 10MB) CPU [64%@1344,0%@1344,3%@1344,0%@1344,35%@729,6%@729] GR3D_FREQ 0% cpu@45.468C/45.75C soc2@45.281C/45.406C soc0@45.031C/45.187C gpu@45.687C/45.843C tj@45.687C/45.843C soc1@45.531C/45.687C VDD_IN 5686mW/5618mW/5695mW VDD_CPU_GPU_CV 1064mW/990mW/1064mW VDD_SOC 1540mW/1557mW/1579mW
09-20-2026 06:59:17 RAM 582/7546MB (lfb 2x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,4%@1344,0%@1344,0%@729,9%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.343C/45.406C soc0@45.25C/45.25C gpu@45.562C/45.843C tj@45.718C/45.843C soc1@45.718C/45.718C VDD_IN 5725mW/5621mW/5725mW VDD_CPU_GPU_CV 1064mW/992mW/1064mW VDD_SOC 1540mW/1557mW/1579mW
09-20-2026 06:59:17 RAM 581/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,2%@1344,0%@1344,0%@729,8%@729] GR3D_FREQ 0% cpu@45.375C/45.75C soc2@45.437C/45.437C soc0@45.125C/45.25C gpu@46.093C/46.093C tj@46.093C/46.093C soc1@45.5C/45.718C VDD_IN 5695mW/5623mW/5725mW VDD_CPU_GPU_CV 1064mW/994mW/1064mW VDD_SOC 1540mW/1556mW/1579mW
09-20-2026 06:59:18 RAM 585/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,5%@1344,0%@1344,0%@729,11%@729] GR3D_FREQ 0% cpu@45.375C/45.75C soc2@45.343C/45.437C soc0@45.062C/45.25C gpu@45.812C/46.093C tj@45.812C/46.093C soc1@45.562C/45.718C VDD_IN 5686mW/5625mW/5725mW VDD_CPU_GPU_CV 1064mW/996mW/1064mW VDD_SOC 1540mW/1556mW/1579mW
09-20-2026 06:59:18 RAM 598/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [84%@1344,6%@1344,10%@1344,22%@1344,14%@729,4%@729] GR3D_FREQ 0% cpu@45.531C/45.75C soc2@45.25C/45.437C soc0@45.062C/45.25C gpu@46.031C/46.093C tj@46.031C/46.093C soc1@45.531C/45.718C VDD_IN 5735mW/5628mW/5735mW VDD_CPU_GPU_CV 1064mW/998mW/1064mW VDD_SOC 1540mW/1555mW/1579mW
09-20-2026 06:59:19 RAM 603/7546MB (lfb 6x1MB) SWAP 23/2048MB (cached 10MB) CPU [2%@1344,2%@1344,2%@1344,98%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.75C/45.75C soc2@45.281C/45.437C soc0@45.062C/45.25C gpu@45.875C/46.093C tj@45.875C/46.093C soc1@45.468C/45.718C VDD_IN 5972mW/5637mW/5972mW VDD_CPU_GPU_CV 1064mW/1000mW/1064mW VDD_SOC 1658mW/1558mW/1658mW
09-20-2026 06:59:19 RAM 590/7546MB (lfb 2x2MB) SWAP 23/2048MB (cached 10MB) CPU [3%@1344,0%@1344,3%@1344,98%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.75C soc2@45.281C/45.437C soc0@45.281C/45.281C gpu@45.781C/46.093C tj@45.781C/46.093C soc1@45.656C/45.718C VDD_IN 5932mW/5645mW/5972mW VDD_CPU_GPU_CV 1064mW/1002mW/1064mW VDD_SOC 1619mW/1560mW/1658mW
09-20-2026 06:59:20 RAM 586/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [41%@1344,1%@1344,0%@1344,56%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.406C/45.437C soc0@45.187C/45.281C gpu@45.843C/46.093C tj@45.843C/46.093C soc1@45.625C/45.718C VDD_IN 5853mW/5650mW/5972mW VDD_CPU_GPU_CV 1064mW/1003mW/1064mW VDD_SOC 1619mW/1561mW/1658mW
09-20-2026 06:59:20 RAM 588/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,2%@1344,0%@1344,0%@1344,0%@729,3%@729] GR3D_FREQ 0% cpu@45.531C/45.75C soc2@45.375C/45.437C soc0@45.156C/45.281C gpu@45.781C/46.093C tj@45.781C/46.093C soc1@45.593C/45.718C VDD_IN 5972mW/5659mW/5972mW VDD_CPU_GPU_CV 1064mW/1005mW/1064mW VDD_SOC 1658mW/1564mW/1658mW
09-20-2026 06:59:21 RAM 574/7546MB (lfb 2x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,3%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.687C/45.75C soc2@45.406C/45.437C soc0@45.093C/45.281C gpu@45.687C/46.093C tj@45.687C/46.093C soc1@45.531C/45.718C VDD_IN 5883mW/5664mW/5972mW VDD_CPU_GPU_CV 1064mW/1006mW/1064mW VDD_SOC 1619mW/1565mW/1658mW
09-20-2026 06:59:21 RAM 596/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,5%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.5C/45.5C soc0@45.062C/45.281C gpu@46.156C/46.156C tj@46.156C/46.156C soc1@45.468C/45.718C VDD_IN 5932mW/5670mW/5972mW VDD_CPU_GPU_CV 1064mW/1007mW/1064mW VDD_SOC 1619mW/1566mW/1658mW
09-20-2026 06:59:22 RAM 590/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [96%@1344,0%@1344,1%@1344,0%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.406C/45.5C soc0@45.25C/45.281C gpu@45.687C/46.156C tj@45.687C/46.156C soc1@45.625C/45.718C VDD_IN 5932mW/5676mW/5972mW VDD_CPU_GPU_CV 1064mW/1009mW/1064mW VDD_SOC 1619mW/1567mW/1658mW
09-20-2026 06:59:22 RAM 589/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,3%@1344,2%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@45.5C/45.75C soc2@45.5C/45.5C soc0@45.281C/45.281C gpu@45.75C/46.156C tj@45.75C/46.156C soc1@45.718C/45.718C VDD_IN 5814mW/5680mW/5972mW VDD_CPU_GPU_CV 1025mW/1009mW/1064mW VDD_SOC 1579mW/1568mW/1658mW
09-20-2026 06:59:23 RAM 586/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [98%@1344,0%@1344,2%@1344,0%@1344,0%@729,7%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.468C/45.5C soc0@45.25C/45.281C gpu@45.718C/46.156C tj@45.718C/46.156C soc1@45.687C/45.718C VDD_IN 6011mW/5687mW/6011mW VDD_CPU_GPU_CV 1066mW/1010mW/1066mW VDD_SOC 1661mW/1570mW/1661mW
09-20-2026 06:59:23 RAM 586/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,3%@1344,1%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.75C soc2@45.5C/45.5C soc0@45.156C/45.281C gpu@46.031C/46.156C tj@46.031C/46.156C soc1@45.718C/45.718C VDD_IN 5932mW/5692mW/6011mW VDD_CPU_GPU_CV 1064mW/1012mW/1066mW VDD_SOC 1619mW/1571mW/1661mW
09-20-2026 06:59:24 RAM 600/7546MB (lfb 3x2MB) SWAP 23/2048MB (cached 10MB) CPU [96%@1344,2%@1344,2%@1344,2%@1344,8%@729,0%@729] GR3D_FREQ 0% cpu@45.718C/45.75C soc2@45.5C/45.5C soc0@45.156C/45.281C gpu@45.687C/46.156C tj@45.718C/46.156C soc1@45.625C/45.718C VDD_IN 5853mW/5696mW/6011mW VDD_CPU_GPU_CV 1066mW/1013mW/1066mW VDD_SOC 1619mW/1572mW/1661mW
09-20-2026 06:59:24 RAM 592/7546MB (lfb 2x1MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,3%@1344,1%@1344,1%@729,1%@729] GR3D_FREQ 0% cpu@45.812C/45.812C soc2@45.437C/45.5C soc0@45.312C/45.312C gpu@46.093C/46.156C tj@46.093C/46.156C soc1@45.531C/45.718C VDD_IN 5972mW/5701mW/6011mW VDD_CPU_GPU_CV 1066mW/1014mW/1066mW VDD_SOC 1658mW/1574mW/1661mW
