09-21-2026 04:01:36 RAM 1628/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.031C/49.437C soc2@48.656C/48.75C soc0@48.625C/48.718C gpu@49.312C/49.75C tj@49.312C/49.75C soc1@49.156C/49.343C VDD_IN 5528mW/5533mW/5883mW VDD_CPU_GPU_CV 985mW/1036mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:37 RAM 1658/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@48.937C/49.437C soc2@48.625C/48.75C soc0@48.562C/48.718C gpu@49.5C/49.75C tj@49.5C/49.75C soc1@49.187C/49.343C VDD_IN 5528mW/5532mW/5883mW VDD_CPU_GPU_CV 985mW/1034mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:37 RAM 1670/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.437C soc2@48.656C/48.75C soc0@48.562C/48.718C gpu@49.25C/49.75C tj@49.25C/49.75C soc1@49.125C/49.343C VDD_IN 5528mW/5532mW/5883mW VDD_CPU_GPU_CV 985mW/1032mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:38 RAM 1660/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.875C/49.437C soc2@48.593C/48.75C soc0@48.5C/48.718C gpu@49.343C/49.75C tj@49.343C/49.75C soc1@49.125C/49.343C VDD_IN 5528mW/5532mW/5883mW VDD_CPU_GPU_CV 985mW/1030mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:38 RAM 1663/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.125C/49.437C soc2@48.656C/48.75C soc0@48.5C/48.718C gpu@49.25C/49.75C tj@49.25C/49.75C soc1@49.062C/49.343C VDD_IN 5567mW/5533mW/5883mW VDD_CPU_GPU_CV 1025mW/1030mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:39 RAM 1655/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,1%@729,1%@729] GR3D_FREQ 0% cpu@49.093C/49.437C soc2@48.593C/48.75C soc0@48.718C/48.718C gpu@49.187C/49.75C tj@49.25C/49.75C soc1@49.25C/49.343C VDD_IN 5567mW/5535mW/5883mW VDD_CPU_GPU_CV 1025mW/1030mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:39 RAM 1655/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.906C/49.437C soc2@48.531C/48.75C soc0@48.593C/48.718C gpu@49.281C/49.75C tj@49.281C/49.75C soc1@49.25C/49.343C VDD_IN 5528mW/5534mW/5883mW VDD_CPU_GPU_CV 1025mW/1030mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:40 RAM 1656/7546MB (lfb 32x4MB) CPU [100%@1344,0%@1344,3%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.437C soc2@48.625C/48.75C soc0@48.531C/48.718C gpu@49.125C/49.75C tj@49.218C/49.75C soc1@49.218C/49.343C VDD_IN 5567mW/5535mW/5883mW VDD_CPU_GPU_CV 1025mW/1030mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:40 RAM 1494/7546MB (lfb 32x4MB) CPU [76%@1267,4%@1267,1%@1267,21%@1267,0%@729,0%@729] GR3D_FREQ 0% cpu@48.812C/49.437C soc2@48.562C/48.75C soc0@48.531C/48.718C gpu@49.218C/49.75C tj@49.218C/49.75C soc1@49.093C/49.343C VDD_IN 5528mW/5535mW/5883mW VDD_CPU_GPU_CV 1025mW/1030mW/1300mW VDD_SOC 1500mW/1502mW/1540mW
09-21-2026 04:01:41 RAM 1518/7546MB (lfb 32x4MB) CPU [14%@1344,30%@1344,39%@1344,14%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@49.531C/49.531C soc2@48.468C/48.75C soc0@48.406C/48.718C gpu@49.187C/49.75C tj@49.531C/49.75C soc1@48.968C/49.343C VDD_IN 5567mW/5536mW/5883mW VDD_CPU_GPU_CV 985mW/1028mW/1300mW VDD_SOC 1540mW/1504mW/1540mW
09-21-2026 04:01:41 RAM 1516/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.156C/49.531C soc2@48.531C/48.75C soc0@48.656C/48.718C gpu@49.5C/49.75C tj@49.5C/49.75C soc1@48.968C/49.343C VDD_IN 5528mW/5536mW/5883mW VDD_CPU_GPU_CV 985mW/1027mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:42 RAM 1516/7546MB (lfb 30x4MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@49.187C/49.531C soc2@48.5C/48.75C soc0@48.593C/48.718C gpu@49.125C/49.75C tj@49.187C/49.75C soc1@49.156C/49.343C VDD_IN 5528mW/5536mW/5883mW VDD_CPU_GPU_CV 985mW/1026mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:42 RAM 1592/7546MB (lfb 30x4MB) CPU [1%@1344,96%@1344,4%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.718C/49.531C soc2@48.531C/48.75C soc0@48.562C/48.718C gpu@49.406C/49.75C tj@49.406C/49.75C soc1@49.187C/49.343C VDD_IN 5567mW/5537mW/5883mW VDD_CPU_GPU_CV 1064mW/1027mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:43 RAM 1525/7546MB (lfb 30x4MB) CPU [1%@1344,18%@1344,80%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@49C/49.531C soc2@48.593C/48.75C soc0@48.468C/48.718C gpu@49.312C/49.75C tj@49.312C/49.75C soc1@49.125C/49.343C VDD_IN 5567mW/5537mW/5883mW VDD_CPU_GPU_CV 1025mW/1027mW/1300mW VDD_SOC 1540mW/1504mW/1540mW
09-21-2026 04:01:43 RAM 1506/7546MB (lfb 30x4MB) CPU [3%@806,27%@806,66%@806,6%@806,0%@729,1%@729] GR3D_FREQ 0% cpu@48.687C/49.531C soc2@48.531C/48.75C soc0@48.468C/48.718C gpu@49.437C/49.75C tj@49.437C/49.75C soc1@49.031C/49.343C VDD_IN 5488mW/5536mW/5883mW VDD_CPU_GPU_CV 1025mW/1027mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:44 RAM 1521/7546MB (lfb 30x4MB) CPU [9%@1190,78%@1190,9%@1190,7%@1190,1%@729,0%@729] GR3D_FREQ 0% cpu@48.968C/49.531C soc2@48.562C/48.75C soc0@48.437C/48.718C gpu@49.312C/49.75C tj@49.312C/49.75C soc1@49.093C/49.343C VDD_IN 5528mW/5536mW/5883mW VDD_CPU_GPU_CV 985mW/1026mW/1300mW VDD_SOC 1540mW/1505mW/1540mW
09-21-2026 04:01:44 RAM 1536/7546MB (lfb 30x4MB) CPU [2%@1344,24%@1344,10%@1344,58%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.531C soc2@48.437C/48.75C soc0@48.625C/48.718C gpu@49.218C/49.75C tj@49.281C/49.75C soc1@49.281C/49.343C VDD_IN 5488mW/5535mW/5883mW VDD_CPU_GPU_CV 985mW/1025mW/1300mW VDD_SOC 1500mW/1505mW/1540mW
09-21-2026 04:01:45 RAM 1521/7546MB (lfb 30x4MB) CPU [29%@1344,6%@1344,20%@1344,70%@1344,30%@729,0%@729] GR3D_FREQ 0% cpu@48.968C/49.531C soc2@48.562C/48.75C soc0@48.531C/48.718C gpu@49.281C/49.75C tj@49.281C/49.75C soc1@49.125C/49.343C VDD_IN 5686mW/5538mW/5883mW VDD_CPU_GPU_CV 1182mW/1028mW/1300mW VDD_SOC 1500mW/1505mW/1540mW
09-21-2026 04:01:45 RAM 1568/7546MB (lfb 30x4MB) CPU [0%@1344,1%@1344,1%@1344,100%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@48.812C/49.531C soc2@48.5C/48.75C soc0@48.531C/48.718C gpu@49.125C/49.75C tj@49.125C/49.75C soc1@49.062C/49.343C VDD_IN 5528mW/5538mW/5883mW VDD_CPU_GPU_CV 1025mW/1028mW/1300mW VDD_SOC 1500mW/1505mW/1540mW
09-21-2026 04:01:46 RAM 1589/7546MB (lfb 30x4MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.843C/49.531C soc2@48.468C/48.75C soc0@48.5C/48.718C gpu@49.281C/49.75C tj@49.281C/49.75C soc1@48.937C/49.343C VDD_IN 5488mW/5537mW/5883mW VDD_CPU_GPU_CV 1025mW/1028mW/1300mW VDD_SOC 1500mW/1505mW/1540mW
09-21-2026 04:01:46 RAM 1595/7546MB (lfb 30x4MB) CPU [0%@1344,70%@1344,0%@1344,30%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@48.968C/49.531C soc2@48.531C/48.75C soc0@48.375C/48.718C gpu@49.218C/49.75C tj@49.218C/49.75C soc1@48.968C/49.343C VDD_IN 5488mW/5536mW/5883mW VDD_CPU_GPU_CV 985mW/1027mW/1300mW VDD_SOC 1500mW/1505mW/1540mW
